CensusTract,State,County,TotalPop,Men,Women,Latinx,White,Black,Native,Asian,Pacific,Unknown,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
11001000100,District of Columbia,District of Columbia,5209,2388,2821,547,4266,68,10,255,0,63,3554,175048,30804,127012,18222,188,3209,219
11001000201,District of Columbia,District of Columbia,3685,1582,2103,335,2414,273,0,494,0,169,3138,NA,NA,3481,811,2856,1206,269
11001000202,District of Columbia,District of Columbia,4817,2195,2622,284,3844,356,10,202,0,121,3972,153705,15708,71335,11802,1084,2328,212
11001000300,District of Columbia,District of Columbia,6095,2853,3242,414,4815,366,0,347,0,153,4954,125078,15785,70302,8041,939,4088,195
11001000400,District of Columbia,District of Columbia,1578,807,771,254,1043,77,0,129,0,75,982,178750,67039,140834,23554,156,812,35
11001000501,District of Columbia,District of Columbia,3502,1582,1920,511,2500,137,88,151,0,115,2781,107448,6566,88510,13382,224,2575,81
11001000502,District of Columbia,District of Columbia,2973,1186,1787,309,2346,92,0,155,0,71,2464,114152,12619,91455,8831,62,2107,59
11001000600,District of Columbia,District of Columbia,4722,2040,2682,557,3537,340,0,203,0,85,3685,158625,52588,107737,12311,420,2846,142
11001000701,District of Columbia,District of Columbia,5245,1854,3391,226,3918,357,0,441,0,303,4245,80223,11432,76755,9892,519,3039,205
11001000702,District of Columbia,District of Columbia,3316,1433,1883,239,2620,176,7,225,0,49,2552,72346,13388,56371,6142,414,2482,133
11001000801,District of Columbia,District of Columbia,6575,3054,3521,697,4918,348,0,296,0,316,4634,121265,32594,100641,18922,921,3139,335
11001000802,District of Columbia,District of Columbia,3153,1546,1607,463,2027,274,0,290,0,99,2295,91307,14112,74359,12090,441,1668,132
11001000901,District of Columbia,District of Columbia,7790,3273,4517,935,5671,600,0,405,0,179,5708,231542,34751,73914,11659,849,2613,748
11001000902,District of Columbia,District of Columbia,2455,1188,1267,349,1873,66,0,79,0,88,1455,200893,17641,115128,28778,42,1306,49
11001001001,District of Columbia,District of Columbia,7894,3778,4116,821,5865,213,0,426,0,569,5077,153992,8829,67807,6555,371,3859,182
11001001002,District of Columbia,District of Columbia,3497,1580,1917,248,2598,192,0,381,0,78,2956,82847,22103,57766,11738,990,2261,175
11001001100,District of Columbia,District of Columbia,4817,2211,2606,376,3526,477,0,289,0,149,3586,149265,31884,93196,14189,193,2578,169
11001001200,District of Columbia,District of Columbia,4908,2513,2395,329,3774,309,0,309,0,187,3572,106667,19738,79949,8114,255,3078,79
11001001301,District of Columbia,District of Columbia,4016,1813,2203,209,2976,486,0,241,0,104,3235,128395,8058,99100,13567,257,2752,137
11001001302,District of Columbia,District of Columbia,7591,3270,4321,805,5374,547,0,706,0,159,6019,98143,15195,81118,10563,820,5446,273
11001001401,District of Columbia,District of Columbia,3369,1451,1918,307,2567,259,0,182,0,54,2275,112700,23365,87803,12541,249,1765,158
11001001402,District of Columbia,District of Columbia,3328,1594,1734,336,2137,369,20,293,0,173,2382,118693,37830,86446,14363,323,1829,103
11001001500,District of Columbia,District of Columbia,6350,3217,3133,241,5067,698,0,140,0,204,4198,200031,20140,76960,9585,108,3083,178
11001001600,District of Columbia,District of Columbia,4175,2066,2109,292,994,2751,8,17,0,113,3231,143194,24824,78098,8465,163,2136,355
11001001702,District of Columbia,District of Columbia,3083,1431,1652,373,1116,1486,0,40,0,68,2422,92543,16489,55369,8180,277,1984,259
11001001803,District of Columbia,District of Columbia,4042,1902,2140,1087,259,2466,8,16,0,206,2057,52411,6117,32879,5875,513,2040,283
11001001804,District of Columbia,District of Columbia,5619,2902,2717,1877,197,3399,34,96,0,16,3091,46283,9860,24401,2583,922,2830,556
11001001901,District of Columbia,District of Columbia,3997,1754,2243,648,336,2850,0,88,0,75,2803,74344,10622,33830,5676,424,1997,368
11001001902,District of Columbia,District of Columbia,2337,925,1412,444,229,1594,7,21,0,42,1730,88291,10797,38637,5221,199,1267,178
11001002001,District of Columbia,District of Columbia,2848,1354,1494,832,698,1148,6,97,0,67,1881,63385,10940,44172,5941,194,1441,214
11001002002,District of Columbia,District of Columbia,3911,1858,2053,813,641,2178,0,27,0,252,2696,80703,13198,41128,4790,520,2094,426
11001002101,District of Columbia,District of Columbia,5859,2834,3025,1723,322,3551,0,217,0,46,3338,57565,8335,28023,5121,873,2949,586
11001002102,District of Columbia,District of Columbia,4921,2336,2585,792,418,3553,44,0,0,114,3591,65387,8965,38372,4760,886,2560,522
11001002201,District of Columbia,District of Columbia,3704,1883,1821,519,363,2641,37,85,0,59,2720,65638,9989,35506,6571,293,1979,511
11001002202,District of Columbia,District of Columbia,3974,2071,1903,1097,171,2523,0,64,0,119,2280,48274,13934,26286,5049,1049,1721,612
11001002301,District of Columbia,District of Columbia,3220,1451,1769,489,734,1755,0,71,0,171,2254,97500,25191,40953,6730,338,1838,254
11001002302,District of Columbia,District of Columbia,1711,906,805,62,666,813,0,104,0,66,1495,59630,14245,39218,6633,409,772,43
11001002400,District of Columbia,District of Columbia,4257,2153,2104,988,775,2235,21,106,0,132,3260,96667,9722,40973,6845,332,2423,447
11001002501,District of Columbia,District of Columbia,2648,1300,1348,569,612,1390,0,16,0,61,1755,35370,23111,39069,7545,609,1299,262
11001002502,District of Columbia,District of Columbia,5852,3039,2813,2154,1042,2294,12,205,0,145,3400,64616,6544,40849,9212,860,3558,345
11001002600,District of Columbia,District of Columbia,2573,1231,1342,270,1166,792,10,157,23,155,1935,135164,21091,73498,9718,131,1428,190
11001002701,District of Columbia,District of Columbia,5428,2925,2503,1525,2719,754,0,147,0,283,3384,56630,15551,45567,6016,885,3229,380
11001002702,District of Columbia,District of Columbia,6300,3047,3253,1720,3364,989,0,107,0,120,4510,87043,12306,50010,6544,491,4252,252
11001002801,District of Columbia,District of Columbia,4033,2124,1909,1399,710,1641,0,194,0,89,2060,48641,6077,25562,2906,847,2313,383
11001002802,District of Columbia,District of Columbia,4750,2391,2359,2237,1169,964,0,285,0,95,2681,49338,8412,31109,3010,931,2948,280
11001002900,District of Columbia,District of Columbia,4567,2335,2232,1210,1854,1178,0,187,0,138,3116,92900,16205,44561,4080,343,3184,242
11001003e3,District of Columbia,District of Columbia,3534,1593,1941,318,1421,1626,0,120,0,49,2575,70238,21049,39046,5993,926,2018,226
11001003100,District of Columbia,District of Columbia,3350,1613,1737,1440,868,831,13,144,0,54,2177,81356,13121,37455,7245,355,2035,201
11001003200,District of Columbia,District of Columbia,4997,2278,2719,1404,869,2518,0,185,0,21,3577,80848,18394,34817,5076,815,2787,380
11001003301,District of Columbia,District of Columbia,3619,1930,1689,311,1694,1357,0,148,0,109,3098,105132,22739,61529,6274,275,2718,156
11001003302,District of Columbia,District of Columbia,2338,1056,1282,133,914,1075,5,117,0,94,1916,112500,26904,53102,5738,283,1480,215
11001003400,District of Columbia,District of Columbia,4716,1937,2779,443,1240,2848,0,52,0,133,4162,80500,21951,26110,4579,887,2064,472
11001003500,District of Columbia,District of Columbia,5603,2496,3107,403,824,4023,0,263,0,90,4696,69190,19123,21255,2762,1177,2688,600
11001003600,District of Columbia,District of Columbia,5036,2761,2275,594,2342,1737,0,247,0,116,4107,91250,13362,51870,8195,524,3622,423
11001003700,District of Columbia,District of Columbia,5860,2916,2944,1465,1992,2010,18,299,0,76,4075,73232,23725,40260,5849,1014,3613,469
11001003800,District of Columbia,District of Columbia,4969,2642,2327,894,2837,725,0,258,50,205,3944,92885,9768,62218,7068,552,3432,303
11001003900,District of Columbia,District of Columbia,4492,2118,2374,364,3270,490,18,310,0,40,3794,89662,6982,63716,5801,440,3361,404
11001004001,District of Columbia,District of Columbia,4120,2282,1838,470,3263,128,0,185,62,12,3535,104775,23158,83083,8031,181,3029,148
11001004002,District of Columbia,District of Columbia,2998,1567,1431,246,2389,156,9,147,0,51,2435,90886,6565,71065,7219,114,2379,63
11001004100,District of Columbia,District of Columbia,2759,1380,1379,328,2072,116,0,174,0,69,2056,123456,16979,102304,15484,157,1822,74
11001004201,District of Columbia,District of Columbia,3625,1924,1701,185,2828,236,18,160,0,198,3030,96650,12501,79766,11508,178,3047,145
11001004202,District of Columbia,District of Columbia,2635,1321,1314,213,2018,74,8,245,0,77,2268,102308,15523,90910,14149,195,2141,84
11001004300,District of Columbia,District of Columbia,3720,2127,1593,595,1946,993,0,63,0,123,2777,80000,11218,59883,6335,439,2618,264
11001004400,District of Columbia,District of Columbia,5702,3099,2603,416,3866,901,0,245,0,274,4799,148766,15550,84904,10608,770,4431,211
11001004600,District of Columbia,District of Columbia,2947,1356,1591,250,925,1568,97,71,0,36,2301,64235,31392,45979,7846,410,1679,283
11001004701,District of Columbia,District of Columbia,4478,2180,2298,197,663,3081,0,407,0,130,3175,24767,4423,34229,7917,1057,2003,376
11001004702,District of Columbia,District of Columbia,2558,1219,1339,156,1271,959,0,130,0,42,2231,94688,14725,72154,9480,386,1667,177
11001004801,District of Columbia,District of Columbia,2223,1029,1194,147,782,1056,0,162,0,76,1909,103273,7835,53431,4805,216,1564,100
11001004802,District of Columbia,District of Columbia,3548,1650,1898,461,891,1710,0,394,0,92,2626,63015,24508,47257,6198,912,2254,106
11001004901,District of Columbia,District of Columbia,2600,1204,1396,408,871,1074,0,182,0,65,1834,67104,12620,42893,6378,541,1488,216
11001004902,District of Columbia,District of Columbia,2842,1515,1327,605,1239,608,11,284,0,95,2190,81591,35121,58332,7417,350,2094,142
11001005001,District of Columbia,District of Columbia,2116,1287,829,305,1297,284,0,76,0,154,1717,133686,16235,85672,16681,176,1580,53
11001005002,District of Columbia,District of Columbia,6051,3548,2503,1392,2808,1204,24,333,30,260,4561,81128,7714,64399,8778,793,4330,248
11001005201,District of Columbia,District of Columbia,6224,3487,2737,797,4463,224,0,492,0,248,5273,102420,17722,91032,10498,492,5327,174
11001005301,District of Columbia,District of Columbia,4999,2457,2542,275,3809,160,60,500,0,195,4274,89097,21788,80263,8402,390,3991,40
11001005500,District of Columbia,District of Columbia,6632,3388,3244,749,4510,365,60,769,0,179,5213,97558,30933,92668,18651,1207,4738,166
11001005600,District of Columbia,District of Columbia,6964,3183,3781,676,4722,446,0,829,0,291,5678,71250,21241,65433,13243,1539,4088,202
