date,time,ampm,Year,Block address,District,PSA,FIELD CONTACT TYPE,REASON FOR STOP,Data Type,Race,Ethnicity,Sex,Age
1/1/17,3:58:41,AM,2017,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Male,28
1/1/17,4:28:24,PM,2017,1500 BLOCK OF HALF STREET SW,1D,105,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,52
1/1/17,5:45:32,PM,2017,1400 BLOCK OF PENNSYLVANIA AVENUE SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,21
1/1/17,5:45:32,PM,2017,1400 BLOCK OF PENNSYLVANIA AVENUE SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,23
1/1/17,8:30:40,PM,2017,700 BLOCK OF 13TH STREET SE,1D,106,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,51
1/1/17,9:58:30,PM,2017,900 BLOCK OF RHODE ISLAND AVENUE NW,3D,307,Bicycle Stop,Suspicious Activity,Person,Black,Unknown,Male,19
1/2/17,10:56:29,AM,2017,1800 BLOCK OF BENNING ROAD NE,5D,507,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,18
1/2/17,6:35:12,PM,2017,INTERSTATE 695 INTERSTATE BN,1D,106,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,37
1/2/17,6:35:12,PM,2017,INTERSTATE 695 INTERSTATE BN,1D,106,Vehicle Stop,Moving Violation,Person,Black,Hispanic Or Latino,Male,42
1/2/17,10:06:45,PM,2017,400 BLOCK OF 7TH STREET NW,1D,102,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,Unknown
1/3/17,1:57:14,AM,2017,1300 BLOCK OF 18TH STREET NW,2D,208,Vehicle Stop,Other,Person,Black,Not Hispanic Or Latino,Male,30
1/3/17,5:45:48,AM,2017,1900 BLOCK OF 7TH STREET NW,3D,305,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,66
1/3/17,7:20:20,PM,2017,1900 BLOCK OF 14TH STREET SE,7D,701,Pedestrian Stop,Other,Person,Black,Not Hispanic Or Latino,Female,24
1/3/17,9:56:00,PM,2017,4400 BLOCK OF BENNING ROAD NE,6D,608,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,47
1/4/17,6:26:41,PM,2017,700 BLOCK OF 16TH STREET NE,5D,507,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,55
1/4/17,6:37:26,PM,2017,1600 BLOCK OF BENNING ROAD NE,5D,507,Vehicle Stop,Equipment Violation,Person,Unknown,Unknown,Female,28
1/4/17,8:12:03,PM,2017,1400 BLOCK OF L STREET NW,2D,207,Vehicle Stop,Suspicious Activity,Person,Black,Unknown,Male,36
1/4/17,8:19:12,PM,2017,,2D,207,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,21
1/5/17,1:41:21,PM,2017,1300 BLOCK OF K STREET NW,1D,101,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,31
1/5/17,7:26:02,PM,2017,1100 BLOCK OF 15TH STREET NW,2D,207,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,32
