year,month,day,temp_high,temp_avg,temp_low,humidity_high,humidity_avg,humidity_low,percipitation,events
2012,1,2,49,41,32,51,42,32,0,
2012,1,3,34,28,21,58,43,27,T,Snow
2012,1,4,35,26,17,47,42,37,0,
2012,1,5,50,40,30,75,55,34,0,
2012,1,6,63,48,33,82,55,27,0,
2012,1,7,68,52,36,89,63,37,0,
2012,1,8,52,45,37,59,48,36,0,
2012,1,9,40,37,33,96,74,52,0.16,Fog; Rain; Snow
2012,1,10,54,43,32,96,67,38,0,Fog
2012,1,11,49,41,33,93,85,76,0.51,Rain
2012,1,12,57,51,44,93,78,62,0.24,Rain
2012,1,13,51,40,29,86,58,30,0.05,Rain
2012,1,14,39,33,27,55,46,37,0,
2012,1,15,36,32,27,55,41,26,0,
2012,1,16,42,34,25,60,50,40,0.03,Rain
2012,1,17,60,50,40,89,76,62,0.26,Rain
2012,1,18,58,43,28,77,54,30,0,
2012,1,19,41,33,25,58,49,40,0,
2012,1,20,40,34,28,70,51,32,0.05,Fog; Snow
2012,1,21,34,31,28,92,82,72,0.23,Rain; Snow
2012,1,22,32,31,30,85,76,66,T,Snow
2012,1,23,44,38,32,100,91,82,0.03,Fog; Rain
2012,1,24,56,47,38,100,76,51,0,
2012,1,25,49,43,36,76,61,46,0,
2012,1,26,55,48,40,89,80,71,T,
2012,1,27,62,52,41,100,75,49,0.63,Rain; Thunderstorm
2012,1,28,55,44,33,82,56,29,0,
2012,1,29,49,41,32,51,36,21,0,
2012,1,30,48,41,34,59,40,21,0,
2012,1,31,66,53,39,59,42,24,0,
2012,2,1,72,60,48,71,54,36,0.02,Rain
2012,2,2,58,50,42,93,68,42,0.09,Rain
2012,2,3,52,45,37,64,51,38,0,
2012,2,4,46,41,35,92,76,60,0.08,Rain
2012,2,5,45,40,35,76,65,53,T,Rain
2012,2,6,52,41,29,85,59,32,0,
2012,2,7,56,48,40,70,53,35,0,
2012,2,8,43,40,37,85,71,57,0.11,Rain
2012,2,9,47,40,33,85,58,31,0,
2012,2,10,47,40,33,70,55,40,T,Rain
2012,2,11,43,33,23,92,66,39,0.1,Rain; Snow
2012,2,12,33,28,23,81,58,35,0.01,Snow
2012,2,13,50,37,24,60,41,22,0,
2012,2,14,56,47,37,70,53,35,0,
2012,2,15,55,48,40,73,56,38,0,
2012,2,16,47,44,41,89,76,62,0.09,Rain
2012,2,17,54,47,39,100,66,32,0,Fog
2012,2,18,59,47,34,89,61,32,0,
2012,2,19,45,40,35,92,64,36,0.08,Rain; Snow
2012,2,20,50,42,34,85,56,27,0,
2012,2,21,50,41,32,75,57,39,0,
2012,2,22,63,53,43,76,53,30,0,
2012,2,23,67,57,47,86,59,31,T,Rain
2012,2,24,57,52,46,89,63,36,0.32,Rain; Thunderstorm
2012,2,25,47,41,35,59,43,27,T,Snow
2012,2,26,49,42,34,59,44,29,0,
2012,2,27,64,50,36,82,53,24,0,
2012,2,28,56,48,40,61,44,26,0,
2012,2,29,56,48,40,96,73,49,1.44,Rain
2012,3,1,70,58,46,100,66,31,0.05,Fog; Rain
2012,3,2,55,48,40,86,65,43,0.34,Rain; Thunderstorm
2012,3,3,63,56,48,93,56,19,0.16,Rain
2012,3,4,51,44,37,53,41,29,0,
2012,3,5,46,39,32,61,48,35,T,
2012,3,6,49,39,29,65,48,31,0,
2012,3,7,67,54,40,64,50,35,0,
2012,3,8,74,64,53,77,58,38,T,Rain
2012,3,9,67,54,41,77,50,23,0.01,Rain
2012,3,10,50,42,34,44,33,21,0,
2012,3,11,63,49,35,70,49,27,0,
2012,3,12,72,59,45,60,46,31,0,
2012,3,13,81,69,56,80,58,35,0.01,Rain
2012,3,14,81,68,54,83,53,23,0,
2012,3,15,82,68,54,77,54,30,T,
2012,3,16,59,55,51,93,83,72,0.02,Rain
2012,3,17,75,64,52,100,75,49,0,
2012,3,18,68,60,52,96,80,63,0,
2012,3,19,76,66,56,93,72,50,0.01,
2012,3,20,72,67,62,93,80,66,0.11,Rain; Thunderstorm
2012,3,21,70,65,59,93,80,66,T,Fog
2012,3,22,78,69,59,100,80,60,T,Fog
2012,3,23,83,71,59,97,70,42,0,
2012,3,24,67,63,59,97,85,73,0.09,Rain
2012,3,25,62,57,51,100,86,72,0.2,Rain
2012,3,26,60,51,42,86,55,24,0,
2012,3,27,56,45,34,39,28,16,0,
2012,3,28,72,59,46,67,53,38,0.01,Rain
2012,3,29,70,60,50,58,43,27,0,
2012,3,30,54,49,43,80,65,50,T,Rain
2012,3,31,64,56,48,86,73,60,0,
2012,4,1,64,56,47,82,67,52,0.07,Rain
2012,4,2,62,55,47,89,58,27,0.08,Rain
2012,4,3,73,58,42,65,41,17,0,
2012,4,4,76,65,53,72,47,22,0,
2012,4,5,63,55,47,50,38,26,0,
2012,4,6,62,52,42,61,42,22,0,
2012,4,7,65,54,42,37,27,16,0,
2012,4,8,74,61,48,46,32,17,0,
2012,4,9,69,61,53,47,36,24,T,Rain
2012,4,10,68,57,45,71,46,20,0,
2012,4,11,56,48,40,65,50,35,0.01,Rain
2012,4,12,63,53,42,67,47,27,0,
2012,4,13,67,56,45,64,44,24,0,
2012,4,14,75,61,46,76,52,27,0,
2012,4,15,83,72,60,69,54,39,0,
2012,4,16,89,76,63,84,58,31,0,
2012,4,17,77,69,61,81,52,22,T,Rain
2012,4,18,62,58,53,77,56,34,0.05,Rain
2012,4,19,72,61,50,83,62,41,T,Rain
2012,4,20,76,64,52,93,68,43,0,
2012,4,21,82,70,57,84,58,31,0.16,Rain
2012,4,22,57,52,46,93,83,72,1.27,Rain
2012,4,23,50,46,42,86,71,56,0.1,Rain
2012,4,24,64,53,42,83,51,19,0,
2012,4,25,71,58,44,77,48,19,0,
2012,4,26,65,61,56,93,70,47,0.03,Rain
2012,4,27,64,56,48,60,42,24,0,
2012,4,28,56,51,45,74,55,36,0.12,Rain
2012,4,29,71,59,46,86,56,26,0.03,Rain
2012,4,30,67,59,50,77,59,41,0,
2012,5,1,84,72,60,90,68,46,0.15,Rain
2012,5,2,74,66,58,93,79,64,0.02,Rain
2012,5,3,81,69,56,93,74,54,T,
2012,5,4,84,75,65,87,68,48,0.12,Rain; Thunderstorm
2012,5,5,83,74,64,87,71,55,T,Rain; Thunderstorm
2012,5,6,72,67,61,90,76,61,T,Rain
2012,5,7,73,65,57,86,65,44,0,
2012,5,8,75,68,61,78,69,60,0.03,Rain
2012,5,9,75,67,59,93,72,50,0.58,Rain
2012,5,10,70,63,56,87,59,30,0,
2012,5,11,73,63,52,51,37,23,0,
2012,5,12,78,65,52,71,46,21,0,
2012,5,13,80,71,62,72,57,42,0,
2012,5,14,73,68,62,93,77,61,0.24,Rain
2012,5,15,79,73,67,93,78,62,1.22,Rain; Thunderstorm
2012,5,16,82,73,63,93,68,42,0,
2012,5,17,77,69,61,84,56,27,0,
2012,5,18,76,66,55,80,57,33,0,
